model,type,idx,ppl,text_preview
base,member,0,2.174623489379883,""">\n</template>\n\n<script>\nimport axios from 'axios';\n\nexport default {\n"""
base,member,1,126.44960021972656,'endendendendendendendendendendendendendendendendendendendendendendendendend'
base,member,2,107.3163833618164,'<|system|>() {\n} - (lhs = true & rhs = R(Sets.New)('
base,member,3,2.454564094543457,'>Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore'
base,member,4,64.08153533935547,"'ouc is one famous product in Viet-Cathay dishes served in the Mekong Valley, inc'"
base,member,5,3.1873176097869873,"'<?xml:namespace prefix = st1 ns = ""urn:schemas-microsoft-com:office:smarttags""'"
base,member,6,80.37625122070312,'<|system|>\nThis version of Katie Paterson has seen its moments — just take a qui'
base,member,7,4.459859371185303,"'<|system|>\n\n1. Introduction\n- Briefly introduce your research topic, purpose, an'"
base,member,8,35.458370208740234,"'aguey_r83, c_victoria_a2, c_nathalie_w9'"
base,member,9,22.80438995361328,'28 (1.85 μg protein equivalent)\n\nB: Nonspecific antigens'
base,member,10,38.640342712402344,"""aguea.com)\nWriters' Playbook. From Lulu:\nWriters&#821"""
base,member,11,57.892845153808594,'mic disease. This increased activity led to dementia-like clinical and behaviora'
base,member,12,23.028179168701172,"""><@bot>\nHmm... that's not surprising given their advanced abilities, but it's gr"""
base,member,13,24.609315872192383,'umbrantha.net . More over Karya Rambu Usaha has viewed by 26868'
base,member,14,25.53970718383789,"'poisoning can affect different living organisms, from mold infection to parasiti'"
base,member,15,27.615009307861328,"""oucoute.\n\n3. Ex-wife : Fille d'un homme de grande beauté qui est très"""
base,member,16,36.01675796508789,"'urchase, and what was your experience like? 3. Evaluate your understanding of cy'"
base,member,17,49.80937194824219,'agne. Liqueur flouress is typically made without the cassis or rhum agricoles (f'
base,member,18,26.765384674072266,'ends\n\nand you want me to remember his laugh\n\nin this heart that shakes with your'
base,member,19,30.987804412841797,'ematic of an organ is formed by cells which help to support tissue and surroundi'
base,member,20,19.620256423950195,"'\nAnd it’ll give you free samples of our bestsellers including bubbly, sweetie, a'"
base,member,21,59.96433639526367,"'>\n```\nInstead of wrapping it in the <big> around ""Practicing"" in CSS, you need'"
base,member,22,39.556671142578125,'ouc. The city of Lougnécourt and Stavelot could both be options as well but ther'
base,member,23,19.053783416748047,'\nWhat challenges had to be addressed when developing effective team management s'
base,member,24,59.0346794128418,'embro.\n\nIn this week:\n- Pondering how to address political tensions by understan'
base,member,25,45.707645416259766,"'umbassy, he was known around campus as Mr. Tutu and many friends still carry pic'"
base,member,26,56.77309036254883,"'ends with each other, the warmth of which is everlasting and alluring. To wrap a'"
base,member,27,62.597084045410156,"'end} in a given list, we first check whether there are none\n     * element after'"
base,member,28,12.471393585205078,'merger/blob/master/GIF/Merger.gif?raw=true)](https://github.com/'
base,member,29,10.079935073852539,'>\n   *       </li>\n   *     </ul>\n   *\n   *   The `<'
base,member,30,11.946863174438477,"'agnol, G., & Poulton, P. (2006). Influence of soil properties on'"
base,member,31,14.104365348815918,"'merge failed: ETIMEDOUT (Connection timed out)"" \n>\n> Here\'s an example of'"
base,member,32,11.355332374572754,"""<|system|>\n\nQuery: SELECT SUM(price) FROM tbl_product WHERE product_name='sne"""
base,member,33,9.562149047851562,'>\n\n4. Edit the text: Press Ctrl + A (cmd + A on macs) to select all'
base,member,34,14.410666465759277,'ema is the accumulation of white blood cells in the tissues. It occurs due to th'
base,member,35,7.105985641479492,'ension\n      for (let j = 0; j < matrix.length; j++) { // Loop through columns o'
base,member,36,45.61846160888672,'-ed by all means but do not become sober so as to take pleasure or benefit from '
base,member,37,38.19017028808594,'\n2 Cylinder Van Meter CVEQ11 - Automatic Flush Valve for Bathroom - 0'
base,member,38,80.06289672851562,'://user:pass@someprovider-fq0kf9hjcjg.cloudant.com)'
base,member,39,61.86780548095703,'class={assistant?.assistantScore === grade.name && `assistant-pass grade--${scor'
base,member,40,43.359737396240234,"'ended the relationship, taking both of their children and leaving her life forev'"
base,member,41,42.68750762939453,"'urchase the domain, registering the domain name is usually included in the one f'"
base,member,42,43.359737396240234,"""agne à haute température, par un procédé de remuage sécalé d'une vinylade d"""
base,member,43,63.334964752197266,'ème: Mise en œuvre efficace : Comment le gouvernement d’entreprise peut utiliser'
base,member,44,32.85774612426758,'>|user|>Here Is A Short Synopsis Of Your Short Story\n\nAlice found herself standi'
base,member,45,51.290218353271484,'embro 1596 – maio 1650) - reuniu o governado de África'
base,member,46,49.037147521972656,'embro de 1898 quando de facto fizeram a transposição do carácter das cois'
